:		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Black	Dot	champion	sum_total	win_total	lose_total	winrate_total	pick_rate	sum_blue_side	win_blue_side	lose_blue_side	winrate_blue_side	sum_red_side	win_red_side	lose_red_side	winrate_red_side	sum_bans	ban_rate	sum_pick_ban	pick_ban_rate	
Black	Dot	Sylas	1,79153903	2,355664692	0,420032004	1,642864452	1,791624291	1,563284372	2,187706637	-0,0736699	1,658178605	1,343577247	1,428637325	0,705451129	0,358645349	1,03544254	1,035336596	1,389005122	1,388937147	
Black	Dot	Sejuani	-0,219372126	0,282679763	-0,900068579	1,32156644	-0,219773508	-0,21091932	0,127687158	-0,721965017	0,980620998	-0,134357725	0,414765675	-0,615393538	0,763289909	0,011634186	0,011348098	-0,071358686	-0,071196202	
Black	Dot	Azir	0,584992336	1,023031523	-0,240018288	1,301109263	0,584785611	0,471466715	0,689510652	-0,0736699	0,844784119	0,499042977	1,090680109	-0,285182371	0,845703755	-0,551460409	-0,551683038	-0,180885972	-0,18108874	
Black	Dot	Aatrox	1,389356798	1,763383284	0,420032004	1,286668903	1,389344731	2,518624822	2,749530131	1,222920335	1,13516595	-0,978891994	-0,937063192	-0,615393538	-0,316999695	2,571155071	2,570994267	2,338241598	2,338557057	
Black	Dot	Aphelios	-0,521008799	-0,161531293	-0,900068579	0,83179756	-0,521163909	-0,21091932	0,127687158	-0,721965017	0,980620998	-0,767758427	-0,599105975	-0,615393538	0,020822827	-1,42169751	-1,421585648	-1,203140637	-1,203042979	
Black	Dot	Maokai	-0,822645473	-0,457671997	-1,120085343	0,71988477	-0,822554309	-1,029782563	-0,808685333	-1,046112576	0,076939724	-0,134357725	0,414765675	-0,615393538	0,763289909	-0,29550832	-0,295523376	-0,509467829	-0,509375311	
Black	Dot	Viego	-0,923191031	-0,605742349	-1,120085343	0,502076005	-0,923443469	-0,483873734	-0,621410835	-0,0736699	-0,688464487	-1,190025561	-0,261148758	-1,606027039	1,50575699	-1,063364586	-1,063352212	-1,093613352	-1,093614123	
Black	Dot	Akali	-0,722099915	-0,457671997	-0,900068579	0,439501111	-0,72166515	-0,347396527	-0,621410835	0,250477659	-0,956071273	-0,978891994	0,076808458	-1,606027039	1,708450504	-0,705031662	-0,705118775	-0,765031495	-0,76486387	
Black	Dot	Graves	0,082264547	0,134609411	-0,020001524	0,265013427	0,081616892	-0,483873734	-0,246861838	-0,721965017	0,563349627	0,921310112	0,752722892	0,705451129	0,020822827	0,267586274	0,26750776	0,220714076	0,220923204	
Black	Dot	Lucian	1,087720125	0,874961171	1,080082295	0,137456913	1,087954331	0,471466715	0,127687158	0,898772776	-0,37530761	1,554710814	1,766594542	0,705451129	0,504911364	-0,449079573	-0,448959113	0,074677695	0,074863501	
